Time,m_2_Positive,m_2_Negative,m_3_Positive,m_3_Negative,m_5_Positive,m_5_Negative,m_10_Positive,m_10_Negative
118,222.33333333333334,73.66666666666667,218.33333333333334,73.66666666666667,200.0,92.66666666666667,194.66666666666666,98.66666666666667
119,221.0,73.33333333333333,218.66666666666666,74.33333333333333,201.0,93.33333333333333,195.0,99.33333333333333
120,221.66666666666666,74.33333333333333,219.0,75.0,201.66666666666666,93.66666666666667,194.66666666666666,98.66666666666667
121,222.0,73.66666666666667,218.0,75.0,201.66666666666666,93.33333333333333,195.66666666666666,99.66666666666667
122,222.0,74.33333333333333,218.33333333333334,74.0,201.66666666666666,92.33333333333333,193.66666666666666,100.66666666666667
123,221.33333333333334,74.66666666666667,217.33333333333334,74.33333333333333,202.66666666666666,92.33333333333333,194.66666666666666,100.33333333333333
124,220.66666666666666,75.0,217.66666666666666,74.66666666666667,201.66666666666666,92.33333333333333,194.66666666666666,101.66666666666667
125,220.33333333333334,73.66666666666667,218.0,75.0,202.0,92.0,194.0,101.33333333333333
126,220.0,74.66666666666667,218.0,76.33333333333333,202.66666666666666,92.33333333333333,193.66666666666666,102.0
127,219.66666666666666,72.66666666666667,217.66666666666666,76.66666666666667,202.33333333333334,92.66666666666667,192.0,102.0
128,221.0,73.66666666666667,219.0,76.0,202.0,92.66666666666667,191.66666666666666,102.33333333333333
129,220.0,73.66666666666667,217.66666666666666,76.0,202.33333333333334,93.0,192.0,101.33333333333333
130,220.0,74.66666666666667,218.0,75.66666666666667,202.33333333333334,93.0,191.33333333333334,101.66666666666667
131,220.66666666666666,74.0,218.0,75.66666666666667,202.66666666666666,91.66666666666667,192.0,102.66666666666667
132,219.33333333333334,74.0,218.0,76.33333333333333,201.66666666666666,91.33333333333333,191.66666666666666,103.33333333333333
133,219.66666666666666,73.66666666666667,217.0,75.66666666666667,202.66666666666666,91.33333333333333,192.33333333333334,103.66666666666667
134,219.66666666666666,74.33333333333333,217.0,76.0,201.33333333333334,91.0,190.66666666666666,104.66666666666667
135,220.0,74.33333333333333,216.33333333333334,75.0,201.66666666666666,92.33333333333333,191.0,105.33333333333333
136,220.66666666666666,74.66666666666667,217.33333333333334,75.66666666666667,201.0,90.33333333333333,189.66666666666666,104.66666666666667
137,220.0,74.0,217.33333333333334,76.66666666666667,201.33333333333334,90.66666666666667,189.66666666666666,105.66666666666667
138,221.33333333333334,72.66666666666667,217.66666666666666,76.0,204.0,90.0,189.0,104.66666666666667
139,222.0,74.33333333333333,217.33333333333334,75.0,203.0,89.33333333333333,189.66666666666666,105.33333333333333
140,221.66666666666666,72.66666666666667,216.0,75.0,202.33333333333334,90.0,189.0,106.0
141,221.66666666666666,72.33333333333333,215.33333333333334,77.0,202.66666666666666,90.33333333333333,187.66666666666666,105.66666666666667
142,222.0,71.66666666666667,213.66666666666666,78.0,203.66666666666666,90.0,188.33333333333334,106.66666666666667
143,221.0,71.0,213.33333333333334,78.0,203.33333333333334,89.66666666666667,187.0,106.66666666666667
144,221.66666666666666,72.0,212.33333333333334,79.0,201.33333333333334,91.0,188.0,106.66666666666667
145,222.33333333333334,71.33333333333333,213.0,78.0,199.66666666666666,91.0,187.66666666666666,107.33333333333333
146,223.0,71.66666666666667,213.66666666666666,77.0,200.33333333333334,91.0,187.66666666666666,107.0
147,222.0,71.33333333333333,213.0,78.0,201.0,92.33333333333333,186.66666666666666,107.66666666666667
148,220.33333333333334,71.66666666666667,213.66666666666666,78.66666666666667,200.66666666666666,92.33333333333333,187.66666666666666,107.33333333333333
149,220.0,72.33333333333333,213.66666666666666,78.66666666666667,201.33333333333334,92.0,187.33333333333334,108.0
